cal_sbid,sbid,field
45640,45638,EMU_1254-55
45780,45761,EMU_2156-60
45780,45781,EMU_2230-55
45822,45811,EMU_2154-55
45822,45821,EMU_1442-64
45822,45830,EMU_1301-60
46776,46907,EMU_0121-51
46776,46910,EMU_1050-64
46776,46913,EMU_0044-46
46911,46915,EMU_1029-55
46911,46919,EMU_0516-14
46911,46922,EMU_1450-37
46923,46925,EMU_0219-64
46923,46939,EMU_1615-64
46923,46941,EMU_0305-64
46944,46943,EMU_1436-28
46944,46946,EMU_0205-55
46944,46948,EMU_1136-64
46944,46951,EMU_0049-51
46944,46953,EMU_1017-60
46944,46955,EMU_1759-69
46960,46957,EMU_0425-72
46960,46959,EMU_1609-69
46960,46962,EMU_0409-69
46960,46964,EMU_1505-60
46969,46966,EMU_0144-46
46969,46968,EMU_1036-69
46969,46971,EMU_0052-37
46969,46974,EMU_1003-64
46969,46976,EMU_2342-55
46969,46978,EMU_0526-73
46969,46980,EMU_1701-64
47031,46982,EMU_0313-69
47031,46984,EMU_1500-28
47031,46986,EMU_0118-37
47031,47034,EMU_0227-51
47059,47127,EMU_1218-55
47059,47130,EMU_0214-46
47059,47133,EMU_1245-46
47134,47136,EMU_0154-51
47134,47138,EMU_1141-55
48587,48567,EMU_0409-69
48587,48589,EMU_0409-69
49991,49990,EMU_0242-55
49991,49992,EMU_0244-46
50010,50008,EMU_0835+00A
50010,50009,EMU_1650-41
50010,50011,EMU_0317-55
50046,50045,EMU_1127+00A
50046,50047,EMU_2108-09A
50046,50048,EMU_0130-55
50046,50049,EMU_0835+00B
50046,50050,EMU_1358+00A
50179,50177,EMU_1127+00B
50179,50180,EMU_0044-46
50179,50181,EMU_0857+00A
50179,50182,EMU_1358+00B
50203,50202,EMU_2108-09B
50203,50204,EMU_0354-55
50225,50220,EMU_0857+00B
50225,50230,EMU_0448-60
50414,50413,EMU_1412-28
50414,50415,EMU_0204-41
50414,50416,EMU_0835-04A
50414,50417,EMU_1625-72
50420,50418,EMU_0814-04B
50420,50419,EMU_0918-04A
50420,50421,EMU_2108-04A
50420,50423,EMU_0212-28
50431,50425,EMU_0835-04B
50431,50427,EMU_1615-64
50431,50428,EMU_0918-04B
50431,50429,EMU_1323-69
50535,50530,EMU_0752-09A
50535,50534,EMU_1127+00A
50535,50538,EMU_0529-60
50535,50539,EMU_1513-69
50793,50786,EMU_2108-04B
50793,50787,EMU_0332-51
50872,50870,EMU_1127+00B
51404,51400,EMU_2006-55
51404,51403,EMU_0813-60
51433,51428,EMU_0954-55
51433,51430,EMU_2108-09B
51433,51431,EMU_0414-46
51433,51432,EMU_1001-09A
51433,51434,EMU_2108+00A
51433,51448,EMU_2108+00B
51561,51559,EMU_1315-04A
51561,51562,EMU_2151-04A
51561,51572,EMU_1127+00A
51561,51574,EMU_1854-55
51806,51797,EMU_2118-55
51820,51818,EMU_2006-55
51820,51819,EMU_0444-46
51846,51845,EMU_0917-64
51846,51852,EMU_2151-04B
51846,51853,EMU_0610-60
51846,51858,EMU_1914-46
51860,51859,EMU_0450-41
51957,51927,EMU_0653-55
51957,51928,EMU_1336-04A
51957,51930,EMU_2108+04A
51957,51931,EMU_0541-55
51957,51932,EMU_1315-04B
51957,51948,EMU_1315-46
51957,51956,EMU_1416-32
51957,51958,EMU_2234-04A
51957,51959,EMU_0651-60
51957,51962,EMU_1358-09A
51957,51964,EMU_2234-04B
51998,52096,EMU_2108+04B
52118,52121,EMU_2054-64
52118,52122,EMU_0658-64
52118,52125,EMU_1953-60
52214,52144,EMU_2212-09A
52214,52145,EMU_0730-55
52214,52161,EMU_2212-09B
52214,52165,EMU_0618-55
52214,52179,EMU_2026-18
52214,52180,EMU_0500-09A
52214,52217,EMU_2314-46
52220,52219,EMU_1336-04B
53212,53183,EMU_0208-04A
53212,53200,EMU_0208-04B
53212,53201,EMU_0750-69
53212,53209,EMU_2119-23
53212,53210,EMU_0644-46
53212,53211,EMU_1441+04A
53212,53214,EMU_2212-04A
53212,53218,EMU_1627-60
53251,53241,EMU_1418-69
53292,53293,EMU_0102-32
53292,53295,EMU_0814-04B
53315,53300,EMU_1714-46
53315,53304,EMU_0655-69
53315,53310,EMU_1356-64
53315,53313,EMU_0021-09A
53315,53314,EMU_0744-64
53315,53321,EMU_2313-64
53565,53513,EMU_2227-64
53565,53551,EMU_0021-09B
53565,53552,EMU_0842-55
53565,53557,EMU_2332-69
53565,53558,EMU_1038-51
53565,53566,EMU_2236-69
53565,53568,EMU_0936-60
53565,53570,EMU_0012-32
54102,54095,EMU_1342-60
54102,54097,EMU_2359-04A
54102,54098,EMU_0754-51
54102,54099,EMU_1704-69
54102,54100,EMU_0021-04A
54102,54101,EMU_0854-60
54102,54103,EMU_2046-69
54102,54104,EMU_0805-55
54102,54105,EMU_1742-55
54772,54769,EMU_1855-69
54772,54770,EMU_0500-09B
54772,54771,EMU_1050-64
54772,54773,EMU_0054-14
54772,54774,EMU_1005-51
54775,54776,EMU_2141-69
54801,54798,EMU_2359-04B
54801,54799,EMU_0814-46
54806,54802,EMU_1950-69
54806,54804,EMU_0500-09A
54806,54805,EMU_1132-69
54806,54807,EMU_0208-09A
54806,54808,EMU_0827-51
54922,54923,EMU_2140-64
54922,54926,EMU_1748-64
54922,54929,EMU_0208-09B
54940,54937,EMU_2237-60
54940,54943,EMU_0750-69
54940,54944,EMU_2115-60
55276,55272,EMU_1149+00B
55333,55325,EMU_2212-09A
55333,55326,EMU_0230-04A
55333,55327,EMU_0626-09A
45640,45638,EMU_1254-55
45780,45761,EMU_2156-60
45780,45781,EMU_2230-55
45822,45811,EMU_2154-55
45822,45821,EMU_1442-64
45822,45830,EMU_1301-60
46776,46907,EMU_0121-51
46776,46910,EMU_1050-64
46776,46913,EMU_0044-46
46911,46915,EMU_1029-55
46911,46919,EMU_0516-14
46911,46922,EMU_1450-37
46923,46925,EMU_0219-64
46923,46939,EMU_1615-64
46923,46941,EMU_0305-64
46944,46943,EMU_1436-28
46944,46946,EMU_0205-55
46944,46948,EMU_1136-64
46944,46951,EMU_0049-51
46944,46953,EMU_1017-60
46944,46955,EMU_1759-69
46960,46957,EMU_0425-72
46960,46959,EMU_1609-69
46960,46962,EMU_0409-69
46960,46964,EMU_1505-60
46969,46966,EMU_0144-46
46969,46968,EMU_1036-69
46969,46971,EMU_0052-37
46969,46974,EMU_1003-64
46969,46976,EMU_2342-55
46969,46978,EMU_0526-73
46969,46980,EMU_1701-64
47031,46982,EMU_0313-69
47031,46984,EMU_1500-28
47031,46986,EMU_0118-37
47031,47034,EMU_0227-51
47059,47127,EMU_1218-55
47059,47130,EMU_0214-46
47059,47133,EMU_1245-46
47134,47136,EMU_0154-51
47134,47138,EMU_1141-55
48587,48567,EMU_0409-69
48587,48589,EMU_0409-69
49991,49990,EMU_0242-55
49991,49992,EMU_0244-46
50010,50008,EMU_0835+00A
50010,50009,EMU_1650-41
50010,50011,EMU_0317-55
50046,50045,EMU_1127+00A
50046,50047,EMU_2108-09A
50046,50048,EMU_0130-55
50046,50049,EMU_0835+00B
50046,50050,EMU_1358+00A
50179,50177,EMU_1127+00B
50179,50180,EMU_0044-46
50179,50181,EMU_0857+00A
50179,50182,EMU_1358+00B
50203,50202,EMU_2108-09B
50203,50204,EMU_0354-55
50225,50220,EMU_0857+00B
50225,50230,EMU_0448-60
50414,50413,EMU_1412-28
50414,50415,EMU_0204-41
50414,50416,EMU_0835-04A
50414,50417,EMU_1625-72
50420,50418,EMU_0814-04B
50420,50419,EMU_0918-04A
50420,50421,EMU_2108-04A
50420,50423,EMU_0212-28
50431,50425,EMU_0835-04B
50431,50427,EMU_1615-64
50431,50428,EMU_0918-04B
50431,50429,EMU_1323-69
50535,50530,EMU_0752-09A
50535,50534,EMU_1127+00A
50535,50538,EMU_0529-60
50535,50539,EMU_1513-69
50793,50786,EMU_2108-04B
50793,50787,EMU_0332-51
50872,50870,EMU_1127+00B
51404,51400,EMU_2006-55
51404,51403,EMU_0813-60
51433,51428,EMU_0954-55
51433,51430,EMU_2108-09B
51433,51431,EMU_0414-46
51433,51432,EMU_1001-09A
51433,51434,EMU_2108+00A
51433,51448,EMU_2108+00B
51561,51559,EMU_1315-04A
51561,51562,EMU_2151-04A
51561,51572,EMU_1127+00A
51561,51574,EMU_1854-55
51806,51797,EMU_2118-55
51820,51818,EMU_2006-55
51820,51819,EMU_0444-46
51860,51845,EMU_0917-64
51860,51852,EMU_2151-04B
51860,51853,EMU_0610-60
51860,51858,EMU_1914-46
51860,51859,EMU_0450-41
51957,51927,EMU_0653-55
51957,51928,EMU_1336-04A
51957,51930,EMU_2108+04A
51957,51931,EMU_0541-55
51957,51932,EMU_1315-04B
51957,51948,EMU_1315-46
51957,51956,EMU_1416-32
51957,51958,EMU_2234-04A
51957,51959,EMU_0651-60
51957,51962,EMU_1358-09A
51957,51964,EMU_2234-04B
52118,52096,EMU_2108+04B
52118,52121,EMU_2054-64
52118,52122,EMU_0658-64
52118,52125,EMU_1953-60
52220,52144,EMU_2212-09A
52220,52145,EMU_0730-55
52220,52161,EMU_2212-09B
52220,52165,EMU_0618-55
52220,52179,EMU_2026-18
52220,52180,EMU_0500-09A
52220,52217,EMU_2314-46
52220,52219,EMU_1336-04B
53292,53183,EMU_0208-04A
53292,53200,EMU_0208-04B
53292,53201,EMU_0750-69
53292,53209,EMU_2119-23
53292,53210,EMU_0644-46
53292,53211,EMU_1441+04A
53292,53214,EMU_2212-04A
53292,53218,EMU_1627-60
53292,53241,EMU_1418-69
53292,53293,EMU_0102-32
53292,53295,EMU_0814-04B
53315,53300,EMU_1714-46
53315,53304,EMU_0655-69
53315,53310,EMU_1356-64
53315,53313,EMU_0021-09A
53315,53314,EMU_0744-64
53315,53321,EMU_2313-64
53565,53513,EMU_2227-64
53565,53551,EMU_0021-09B
53565,53552,EMU_0842-55
53565,53557,EMU_2332-69
53565,53558,EMU_1038-51
53565,53566,EMU_2236-69
53565,53568,EMU_0936-60
53565,53570,EMU_0012-32
54102,54095,EMU_1342-60
54102,54097,EMU_2359-04A
54102,54098,EMU_0754-51
54102,54099,EMU_1704-69
54102,54100,EMU_0021-04A
54102,54101,EMU_0854-60
54102,54103,EMU_2046-69
54102,54104,EMU_0805-55
54102,54105,EMU_1742-55
54806,54769,EMU_1855-69
54806,54770,EMU_0500-09B
54806,54771,EMU_1050-64
54806,54773,EMU_0054-14
54806,54774,EMU_1005-51
54806,54776,EMU_2141-69
54806,54798,EMU_2359-04B
54806,54799,EMU_0814-46
54806,54802,EMU_1950-69
54806,54804,EMU_0500-09A
54806,54805,EMU_1132-69
54806,54807,EMU_0208-09A
54806,54808,EMU_0827-51
54940,54923,EMU_2140-64
54940,54926,EMU_1748-64
54940,54929,EMU_0208-09B
54940,54937,EMU_2237-60
54940,54943,EMU_0750-69
54940,54944,EMU_2115-60
55276,55272,EMU_1149+00B
55333,55325,EMU_2212-09A
55333,55326,EMU_0230-04A
55333,55327,EMU_0626-09A
55352,55350,EMU_0626-09B
55352,55351,EMU_1358-09B
55352,55362,EMU_0218-69
55352,55363,EMU_1223-64
59158,59094,EMU_0259-51
59158,59095,EMU_1001-09B
59158,59159,EMU_0314-46
59233,59159,EMU_0314-46
59233,59246,EMU_1210+00A
59252,59253,EMU_0208-09B
59461,59442,EMU_0344-46
59461,59481,EMU_0354-55
59562,59560,EMU_1149+00B
59562,59565,EMU_0054-55
59705,59607,EMU_0425-72
59705,59609,EMU_1210+00B
59705,59612,EMU_2141-69
59705,59692,EMU_0626-09A
59705,59742,EMU_0750-69
59705,59767,EMU_0916-14
59768,59804,EMU_0911-18
59888,59835,EMU_1441+04B
59888,59837,EMU_2205-51
59888,59862,EMU_2238-51
59888,59879,EMU_1419+00A
59888,59881,EMU_2306-55
59888,59882,EMU_0500-09A
59888,59887,EMU_1419+00B
59888,59891,EMU_0114-46
60319,60317,EMU_0506-55
60319,60318,EMU_1358-09B
60319,60320,EMU_0121-51
60319,60322,EMU_1012-28
60325,60329,EMU_0041-60
60325,60332,EMU_1324-28
60325,60335,EMU_0000-64
60325,60336,EMU_1058-60
60337,60338,EMU_2343-51
60547,60563,EMU_0500-09B
60547,60564,EMU_1036-28
60579,60576,EMU_2346-41
60579,60577,EMU_0814-04B
60579,60578,EMU_1441+00A
60579,60585,EMU_0027-69
60579,60586,EMU_1139-60
61036,61034,EMU_0305-64
61036,61035,EMU_1441+00B
61062,61048,EMU_0218-69
61062,61057,EMU_1419+00B
61062,61060,EMU_0046-64
61062,61061,EMU_1120-37
61062,61065,EMU_0122-60
61062,61077,EMU_0626-09B
61062,61078,EMU_1124-28
61079,61082,EMU_0132-64
61079,61083,EMU_1220-60
61104,61103,EMU_1227-69
61936,61931,EMU_0709-09A
61941,61934,EMU_1358+04A
61941,61946,EMU_2212-04B
61941,61949,EMU_0618-55
62221,62220,EMU_1502-04A
62221,62222,EMU_0203-60
62221,62225,EMU_1309-64
62242,62240,EMU_0709-09B
62242,62241,EMU_1321-51
62242,62243,EMU_2359-04B
62242,62244,EMU_0543-09A
62287,62272,EMU_0649-51
62287,62278,EMU_1358+04B
62287,62281,EMU_2233-32
62287,62285,EMU_0543-09B
62287,62286,EMU_1149+00A
62287,62288,EMU_2257-32
62287,62289,EMU_0814-04A
62287,62293,EMU_1418-69
62451,62450,EMU_1345-46
62451,62459,EMU_0104-09A
62451,62460,EMU_0918+00A
62470,62461,EMU_1529-64
62470,62465,EMU_0021-04A
62470,62466,EMU_0714-46
62484,62482,EMU_0918+00B
62521,62507,EMU_2322-32
62521,62508,EMU_0709-09B
62521,62511,EMU_1149+00A
62521,62516,EMU_2359-04B
62521,62517,EMU_0649-51
62521,62518,EMU_1502-04B
62566,62549,EMU_1354-51
62566,62551,EMU_0244-60
62566,62552,EMU_0814-04A
62566,62556,EMU_1502-04A
62566,62559,EMU_0021-09B
62566,62562,EMU_0731-09A
62566,62565,EMU_1418-69
62583,62581,EMU_1415-46
62583,62584,EMU_0104-09B
62583,62585,EMU_0731-09B
62583,62586,EMU_1427-51
62590,62587,EMU_0026-37
62590,62588,EMU_0814-09A
62590,62589,EMU_1704-69
62590,62593,EMU_0325-60
62622,62618,EMU_0021-04B
62622,62619,EMU_0616-51
63790,63789,EMU_1743-51
64252,64183,EMU_0355-37
64252,64184,EMU_1315+00A
64252,64185,EMU_1834-64
64252,64245,EMU_2129+04A
64252,64246,EMU_0614-46
64252,64249,EMU_1315+00B
64252,64258,EMU_0543-09B
64300,64299,EMU_1253+04A
64400,64329,EMU_0421-37
64400,64392,EMU_0125-04A
64400,64399,EMU_1253+04B
64405,64403,EMU_0356-09A
64405,64404,EMU_1210-04A
64405,64412,EMU_1106-55
64405,64415,EMU_0125-04B
64405,64418,EMU_0356-09B
64405,64419,EMU_1216-51
64692,64690,EMU_0658-64
64692,64724,EMU_0732-60
64692,64747,EMU_0514-46
64867,64864,EMU_0208-04B
64867,64877,EMU_0514-37
64927,64905,EMU_2129+00A
64927,64929,EMU_0230-04B
64985,64938,EMU_2129-09A
65903,65905,EMU_0208-04B
65903,65906,EMU_0721-51
65903,65927,EMU_2129+04B
65903,65928,EMU_0658-64
66440,66438,EMU_0941-69
66440,66474,EMU_0814-09B
66706,66742,EMU_1046-72
67159,67157,EMU_1200-73
69667,69666,EMU_0946-70
69667,69699,EMU_1313-72
69742,69763,EMU_0941-69
69801,69802,EMU_1833-73
69815,69812,EMU_1413-70
69943,69858,EMU_1330-55
69943,69953,EMU_0727-14
69943,69954,EMU_1515-72
69985,69983,EMU_1406-55
69985,70006,EMU_1625-72
69985,70007,EMU_0749-14
70151,70136,EMU_0525-64
70204,70174,EMU_1726-73
70204,70196,EMU_1419+04A
70259,70216,EMU_0810-14
70259,70256,EMU_1419+04B
70272,70270,EMU_0844-72
70272,70271,EMU_1424-60
70272,70282,EMU_0814+00A
70272,70283,EMU_1249-51
70272,70284,EMU_2044-72
70272,70285,EMU_0814+00B
70272,70286,EMU_1442-55
70298,70295,EMU_0835+04A
70298,70296,EMU_1517-55
70316,70315,EMU_1546-60
70316,70317,EMU_0352-64
70320,70319,EMU_1726-73
70320,70340,EMU_1934-72
70352,70353,EMU_2146-70
70397,70395,EMU_1107-78
70397,70398,EMU_2129-81
70397,70399,EMU_1107-78
70397,70400,EMU_1710-79
70404,70403,EMU_1252-78
70404,70405,EMU_2007-64
70404,70406,EMU_0526-73
70404,70407,EMU_1200-83
70460,70454,EMU_1849-79
70460,70455,EMU_0810-14
70460,70462,EMU_0000-73
70465,70463,EMU_0929-81
70487,70486,EMU_2141-75
70505,70504,EMU_1418-75
70505,70511,EMU_0315-72
70505,70512,EMU_1418-75
70568,70566,EMU_2141-75
70568,70567,EMU_1430-81
70568,70569,EMU_1849-79
70920,70918,EMU_2012-77
70920,70921,EMU_2007-64
71269,71267,EMU_0846-69
71269,71314,EMU_1629-55
71331,71330,EMU_1547-77
71382,71381,EMU_0857+04A
71456,71454,EMU_0405-51
71456,71462,EMU_2237-60
71456,71464,EMU_0857-04A
71465,71466,EMU_1921-64
71605,71508,EMU_0814+00A
71605,71509,EMU_1315+04A
71681,71649,EMU_1726-73
71681,71674,EMU_2246-72
71681,71675,EMU_0835-09A
71681,71676,EMU_1934-72
71681,71679,EMU_0406-60
71681,71680,EMU_1933-84
71681,71683,EMU_0429-55
71681,71684,EMU_1315+04B
71710,71709,EMU_0438-64
71739,71738,EMU_1336+04A
71739,71743,EMU_0438-51
71970,71968,EMU_0018-55
71970,71969,EMU_0946-70
72002,72000,EMU_1336+04B
72002,72004,EMU_0444-46
72002,72005,EMU_1336+00A
72060,72006,EMU_2034-60
72060,72044,EMU_0844-72
72147,72089,EMU_0835-09B
72147,72144,EMU_0857+04B
72147,72149,EMU_2042-55
72147,72176,EMU_0941-75
72195,72194,EMU_1215-46
72617,72599,EMU_2244-46
72617,72607,EMU_0649-79
72617,72610,EMU_2318-60
72617,72615,EMU_0812-77
72617,72618,EMU_2343-51
72743,72708,EMU_0014-46
72908,72907,EMU_1239-37
72916,72914,EMU_0109-41
72916,72915,EMU_0649-79
72949,72946,EMU_0000-60
72949,72947,EMU_0648-09A
72949,72948,EMU_1253+00A
72949,72950,EMU_2310-51
72949,72953,EMU_0648-09B
72955,72954,EMU_1444-46
72955,72956,EMU_0113-72
73032,73016,EMU_1514-46
73032,73048,EMU_0605-09A
73092,73071,EMU_2144-46
73092,73077,EMU_0605-09B
73092,73134,EMU_0522-09A
73092,73146,EMU_1253-04A
73147,73166,EMU_0543-51
73187,73185,EMU_0522-09B
73187,73186,EMU_1241-41
73253,73251,EMU_0406-60
73253,73252,EMU_1459-51
73258,73257,EMU_1305-37
73298,73297,EMU_1213-37
73340,73339,EMU_1252-78
73386,73385,EMU_1200-83
73459,73455,EMU_1210-04B
73459,73458,EMU_1358-04A
73459,73465,EMU_0444-46
73479,73478,EMU_1326-32
73524,73523,EMU_1517-55
73524,73533,EMU_0355-41
73649,73645,EMU_0835+04A
73649,73648,EMU_1419-04A
73649,73650,EMU_0109-41
73649,73653,EMU_0835+04B
73771,73770,EMU_1319-23
73771,73772,EMU_0136-41
73779,73778,EMU_1200-87
73779,73780,EMU_2212+00A
74146,74138,EMU_0857-04B
74146,74140,EMU_0857-04B
74222,74221,EMU_1706-55
74222,74230,EMU_1708-60
74222,74234,EMU_0918+04A
74236,74235,EMU_1749-60
74236,74238,EMU_0918+04B
74236,74239,EMU_1818-55
74236,74249,EMU_0721-51
74251,74250,EMU_1626-84
74258,74256,EMU_0744-46
74258,74257,EMU_1546-60
74258,74259,EMU_0510-51
74258,74260,EMU_1532-51
74261,74263,EMU_0822-23
74261,74264,EMU_1358-04B
74276,74272,EMU_0230-09A
74276,74274,EMU_0940+04A
74276,74275,EMU_1830-60
74287,74283,EMU_0737-23
74287,74285,EMU_1912-60
74301,74299,EMU_0857-09A
74301,74300,EMU_0940-04A
74301,74303,EMU_2129-09B
74311,74304,EMU_0232-41
74311,74309,EMU_0940-04B
74311,74310,EMU_1419-04B
74311,74312,EMU_0144-37
74311,74313,EMU_0857-09B
74311,74314,EMU_1253+00B
74311,74315,EMU_2129+04A
74385,74361,EMU_1944-46
74385,74381,EMU_0940+04B
74385,74400,EMU_0237-37
74385,74401,EMU_0940+00A
74439,74410,EMU_1844-46
74439,74411,EMU_0230-09B
74439,74412,EMU_0940+00B
74439,74413,EMU_1544-46
74439,74416,EMU_0421-37
74439,74440,EMU_2129-04A
74454,74441,EMU_0423-41
74454,74446,EMU_1502-09A
74454,74455,EMU_0124-28
74454,74456,EMU_1001+04A
74454,74457,EMU_1554-55
74454,74458,EMU_0210-37
74544,74517,EMU_1930-55
74544,74538,EMU_1001+04B
74614,74595,EMU_2059-41
74614,74605,EMU_1001+00A
74614,74617,EMU_2044-46
74614,74627,EMU_1605-51
74691,74690,EMU_1644-46
74691,74712,EMU_0917-55
74759,74757,EMU_0732-60
74759,74787,EMU_0448-37
74813,74812,EMU_2129+04B
74813,74815,EMU_0522-09A
74813,74821,EMU_1253-04A
74813,74824,EMU_2059-51
74813,74825,EMU_0842-55
74858,74856,EMU_1253-04B
74858,74872,EMU_0514-37
74858,74873,EMU_1023-04A
74879,74876,EMU_2132-51
74879,74878,EMU_0844-46
74879,74880,EMU_2114-46
74879,74881,EMU_0522-09A
74947,74945,EMU_1419+04A
74963,74957,EMU_0412-28
74963,74962,EMU_1336+00B
74963,74967,EMU_2129+00B
74963,75010,EMU_1921-51
75058,75059,EMU_2129-04B
75058,75060,EMU_0510-32
75058,75061,EMU_1210+04A
75058,75073,EMU_2151+04A
75076,75074,EMU_0445-32
75076,75075,EMU_1210+04B
75076,75088,EMU_2151+04B
75076,75089,EMU_0439-09A
75076,75093,EMU_1127-04A
